"","...1","PFT","range","herd","percent_cover_1985","percent_cover_1990","percent_cover_1995","percent_cover_2000","percent_cover_2005","percent_cover_2010","percent_cover_2015","percent_cover_2020"
"1",1,"BroadleafTree","total","Fourtymile",5.99352893,6.120388097,6.271805851,6.423210566,6.429552197,6.746421939,7.116768906,7.373552909
"2",2,"ConiferTree","total","Fourtymile",13.34864561,13.65452282,13.83680122,13.6435144,11.96003428,12.30506139,12.65213407,12.893824
"3",3,"DeciduousShrub","total","Fourtymile",20.35853376,20.75755631,21.14718887,21.40778474,20.7357094,22.51523737,23.89589091,24.67337592
"4",4,"EvergreenShrub","total","Fourtymile",10.48338354,10.45933529,10.3839232,10.19313246,9.437487572,9.889338201,10.72173651,11.27431502
"5",5,"Forb","total","Fourtymile",1.092792749,1.059946947,1.109366404,1.384897926,2.679605773,2.166689041,1.497205344,1.374959363
"6",6,"Graminoid","total","Fourtymile",5.204185441,5.00348379,4.866611131,4.972826285,5.673647695,5.697266452,5.113019264,4.777396744
"7",7,"LichenLight","total","Fourtymile",7.782132953,7.601573039,7.334777803,6.944361112,6.069269835,5.867797154,5.848895445,6.00446603
"8",1,"BroadleafTree","total","Porcupine",1.830935071,1.90654598,1.989685425,2.112650801,2.198839416,2.355053955,2.672972228,2.929990392
"9",2,"ConiferTree","total","Porcupine",8.108978222,8.401218322,8.545918774,8.697930807,8.06608891,8.167275375,8.543157742,8.53024314
"10",3,"DeciduousShrub","total","Porcupine",16.54384795,16.97180134,17.47331174,18.00947021,18.12850396,19.16969538,20.01426246,20.26417257
"11",4,"EvergreenShrub","total","Porcupine",10.97692925,11.05507856,11.09263193,11.14255039,10.8735708,11.13100352,11.51035171,11.68752089
"12",5,"Forb","total","Porcupine",3.123437393,3.076711797,3.098056663,3.08228121,3.47143994,3.395312878,3.223211579,3.321423321
"13",6,"Graminoid","total","Porcupine",10.33206531,10.0382149,9.826797996,9.580332509,9.672733717,9.444456017,8.853428655,8.650327717
"14",7,"LichenLight","total","Porcupine",5.28039813,5.263940319,5.175160995,5.086265575,4.708848057,4.652347546,4.664158934,4.694312355
"15",8,"BroadleafTree","summer","Porcupine",0.038997457,0.036922893,0.035817593,0.036895584,0.036347317,0.042427762,0.054211806,0.076878264
"16",9,"ConiferTree","summer","Porcupine",0.393296987,0.438487662,0.49040951,0.548782892,0.600743176,0.667828303,0.740157994,0.821387106
"17",10,"DeciduousShrub","summer","Porcupine",14.26058097,14.70130376,15.14503667,15.56661756,15.885147,16.33595672,16.82497085,17.11093693
"18",11,"EvergreenShrub","summer","Porcupine",11.41000101,11.6764062,11.9167619,12.10624368,12.24006066,12.42203188,12.62343226,12.69949264
"19",12,"Forb","summer","Porcupine",3.803820011,3.71247903,3.632360126,3.568190329,3.518310741,3.523163645,3.581703303,3.623891677
"20",13,"Graminoid","summer","Porcupine",14.59558664,14.49218777,14.40752798,14.35308582,14.3586978,14.17593683,13.88312829,13.76626492
"21",14,"LichenLight","summer","Porcupine",1.965693102,2.024816014,2.070263879,2.099040231,2.122755766,2.118190353,2.09928009,2.080120585
