,V1,mean_lich_pre,lich_percent_05,lich_percent_10,lich_percent_20,shrub_pre,shrub_20,tree_pre,elevation,dnbr,end_recovered
1,140,12.52020963,11.64401913,11.48608017,11.32879066,15.92097314,17.53292465,16.02591165,552.8949585,-0.004925865,90.48403341
2,147,10.26245022,8.628512383,8.609012604,9.114203453,17.81182671,21.4311161,12.04871178,552.0500488,0.005109476,88.81118309
3,287,14.21938896,12.04388237,12.55498791,12.75450611,22.72087224,23.06634521,0.050144034,904.3883667,0.006127897,89.69799016
4,959,11.56787841,10.20759201,9.348734856,8.817117691,26.87050756,19.66582108,0.458080252,810.5126953,0.064375095,76.22069823
5,1043,11.23644829,4.52634573,4.073851585,5.024012089,14.11397139,25.6329937,23.02069918,456.3270874,0.027995383,44.71174485
6,1050,10.26386642,2.774092674,2.230944395,3.034135818,15.41973273,30.52450562,22.66623052,480.5110779,0.040553976,29.56133384
7,1246,14.53095436,9.174351692,7.814333439,8.995604515,22.47507222,22.11244392,3.024674972,720.6022339,0.061053619,61.90649486
8,1253,14.72547722,10.30634594,8.928481102,10.6133709,25.3138682,26.98230171,1.942917705,765.4904175,0.075313084,72.07488584
9,1316,11.93477376,7.438475132,6.723876476,5.379370213,17.83223724,23.91147423,25.49452273,458.2352905,0.014969909,45.07308073
10,1323,10.47362137,4.496660709,3.718648195,3.67220974,16.68780327,26.25232124,25.60354296,492.1554565,0.015640134,35.06150939
11,1435,12.54817486,7.569104671,5.946506023,8.425931931,21.47884432,25.77145576,6.743999958,745.4869385,0.082856208,67.14866525
12,1554,10.86234792,3.962901115,3.157907486,5.075110912,21.77521006,30.45080757,20.4985892,560.9295654,0.03975359,46.72204342
13,1561,11.5586071,1.726734519,1.087000012,3.688111067,16.78823471,31.75033951,26.29133352,549.7623291,0.038240749,31.90791965
14,1568,10.7652572,1.249296308,0.717351854,3.608814716,15.33237871,31.20866585,27.83686193,547.9508667,0.037504904,33.52279142
15,1736,10.39050007,0.820061684,0.253641963,3.019876719,9.385709763,20.39532661,28.12898127,384.6997375,0.074630506,29.06382463
16,1743,11.46238708,0.48241359,0.277358025,3.473654509,11.55330467,20.2213707,29.69813347,434.912262,0.088954687,30.30480896
17,1862,10.17156792,0.747185171,0.005296296,1.731129646,15.42467721,36.39257431,24.14914195,517.6895752,0.082305394,17.01929988
18,1925,10.16847324,1.081549406,0.288654327,3.140691519,9.198213895,25.20735931,28.05566025,368.8583374,0.083270095,30.8865593
19,1946,12.16112328,0.858635783,0.631117284,4.268981457,8.155629635,18.12025261,27.39581045,387.9015808,0.081429921,35.10351273
20,1953,12.88399792,0.595487654,0.550067902,4.440518379,11.33760071,16.77262878,26.81444041,438.4779358,0.083713204,34.46537641
21,1960,10.11061128,0.721265435,0.532092571,3.625259161,15.86245473,21.46252441,24.8953832,498.8721619,0.074216403,35.85598398
22,3619,10.85560894,1.381672859,0.034765434,0.050438274,9.942934036,31.38079071,24.04542987,361.9751587,0.043410625,0.464628691
23,4032,10.10885557,0.769450605,0.022314815,0.190777779,6.272213936,29.97163582,26.24497159,338.2888794,0.022657383,1.887234192
24,5943,10.54617914,9.72018528,10.83722878,11.61464214,24.96600024,25.16033363,0.031337449,897.0744019,0.017739262,110.1312807
25,6258,12.36002636,11.94138241,12.64118481,13.10808659,21.73015658,21.94431496,0.093569957,916.3676758,0.011553809,106.0522543
26,6489,10.99385579,0.497370362,0.329413593,0.701709867,1.586971164,31.50181961,27.84627597,306.1893616,0.062896803,6.382745778
